地址,市场,方向,持仓量,均价,现价,现值($),成本($),盈亏($),盈亏%,到期日,Profile
0x294d6426745e9c48c978b91478b91365af32b362,Will the S&P 500 have the best performance in 2026?,No,10277.19,0.7559,0.89,9146.7,7768.69,1378.01,1773.8,2026-12-31,https://polymarket.com/profile/0x294d6426745e9c48c978b91478b91365af32b362
0x5f4fc359460dbe427ae7d4f81b4a34b3678cc2f1,Will SoFi Technologies (SOFI) be added to the S&P 500 by Mar,No,3504.74,0.6976,0.9805,3436.39,2444.79,991.6,4056,2026-03-31,https://polymarket.com/profile/0x5f4fc359460dbe427ae7d4f81b4a34b3678cc2f1
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,Will Bitcoin outperform Gold in March 2026?,Yes,3172.79,0.582,0.71,2252.68,1846.43,406.25,2200.2,2026-03-31,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,Will the percentage change in the S&P 500 in Q1 2026 be betw,No,1322.15,0.7039,0.8765,1158.86,930.6,228.27,2452.9,2026-03-31,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0xf5b15da63c1bb7aed1024c36438fac51938cbb91,Will Bitcoin have the best performance in 2026?,No,1445.73,0.7511,0.74,1069.84,1085.93,-16.09,-148.2,2026-12-31,https://polymarket.com/profile/0xf5b15da63c1bb7aed1024c36438fac51938cbb91
0xeface9902242b0399856f981600b907dcc9bc9a1,Will Affirm Holdings (AFRM) be added to the S&P 500 by March,No,943.1,0.9392,0.979,923.3,885.78,37.51,423.5,2026-03-31,https://polymarket.com/profile/0xeface9902242b0399856f981600b907dcc9bc9a1
0xc1cf7d0ccb729703a5f4d97ed1045a42dbd99656,Will Bitcoin have the best performance in 2026?,No,1098.74,0.57,0.74,813.07,626.28,186.79,2982.5,2026-12-31,https://polymarket.com/profile/0xc1cf7d0ccb729703a5f4d97ed1045a42dbd99656
0x5f82d812ff98372347ac9504a6474f033451463b,"S&P 500 all time high by March 31, 2026?",Yes,9852.35,0.2201,0.075,738.93,2168.81,-1429.88,-6592.9,2026-03-31,https://polymarket.com/profile/0x5f82d812ff98372347ac9504a6474f033451463b
0xbd6c2a16c00ab38338b241783d454981a750a568,Will SoFi Technologies (SOFI) be added to the S&P 500 by Mar,No,526.14,0.4341,0.9805,515.88,228.37,287.51,12589.4,2026-03-31,https://polymarket.com/profile/0xbd6c2a16c00ab38338b241783d454981a750a568
0xe7a3cd81b59acfa06d21df09beb57b84b794e60a,"Will S&P 500 (SPX) close over $6,600 on the final trading da",No,859.19,0.4795,0.515,442.48,412,30.49,740,2026-03-31,https://polymarket.com/profile/0xe7a3cd81b59acfa06d21df09beb57b84b794e60a
0xe6534dd9d60cafcd8ac78091fbb883927b1d4594,"S&P 500 all time high by March 31, 2026?",Yes,5755.56,0.4052,0.075,431.67,2332.38,-1900.71,-8149.2,2026-03-31,https://polymarket.com/profile/0xe6534dd9d60cafcd8ac78091fbb883927b1d4594
0x75322cd79943489a4a747587afd4cbbecf57c6fc,"S&P 500 all time high by March 31, 2026?",No,419.5,0.5931,0.925,388.04,248.82,139.22,5595.1,2026-03-31,https://polymarket.com/profile/0x75322cd79943489a4a747587afd4cbbecf57c6fc
0x80a0da00fbdc8440b0ef601341f14c3e24795708,"Will S&P 500 (SPX) hit $6,000 (LOW) in March 2026?",Yes,2390.12,0.1769,0.16,382.42,422.91,-40.49,-957.4,2026-03-31,https://polymarket.com/profile/0x80a0da00fbdc8440b0ef601341f14c3e24795708
0x5a7ea088e41b0e1a53b5ab6df79a7ebbb1a4b0d8,S&P 500 (SPX) Opens Up or Down on March 16?,Up,999.98,0.49,0.38,379.99,489.99,-110,-2244.9,2026-03-16,https://polymarket.com/profile/0x5a7ea088e41b0e1a53b5ab6df79a7ebbb1a4b0d8
